lsoa_code,borough,major_category,minor_category,value,year,month,crime_occurred
E01003031,Lambeth,Violence Against the Person,Offensive Weapon,0,2016,Aug,No
E01004197,Tower Hamlets,Theft and Handling,Other Theft,6,2013,Jun,Yes
E01001959,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2014,Dec,Yes
E01003344,Lewisham,Violence Against the Person,Assault with Injury,0,2014,Apr,No
E01004701,Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,Jan,No
E01001619,Greenwich,Theft and Handling,Handling Stolen Goods,0,2015,Apr,No
E01001180,Croydon,Violence Against the Person,Assault with Injury,1,2015,Feb,Yes
E01000040,Barking and Dagenham,Theft and Handling,Other Theft,0,2015,Aug,No
E01001815,Hackney,Theft and Handling,Other Theft,1,2013,Apr,Yes
E01003903,Richmond upon Thames,Robbery,Personal Property,0,2014,Sep,No
E01003606,Newham,Violence Against the Person,Common Assault,5,2016,May,Yes
E01002959,Kingston upon Thames,Violence Against the Person,Wounding/GBH,0,2015,Jan,No
E01004492,Wandsworth,Other Notifiable Offences,Other Notifiable,0,2016,Mar,No
E01001134,Croydon,Violence Against the Person,Common Assault,0,2015,Jul,No
E01000790,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,Jan,No
E01002968,Kingston upon Thames,Violence Against the Person,Common Assault,17,2015,Mar,Yes
E01003522,Newham,Theft and Handling,Theft From Shops,0,2016,Feb,No
E01003058,Lambeth,Robbery,Business Property,0,2014,Apr,No
E01003929,Southwark,Criminal Damage,Criminal Damage To Other Building,0,2016,May,No
E01001337,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,1,2014,Dec,Yes
E01004014,Southwark,Burglary,Burglary in a Dwelling,0,2016,Sep,No
E01001701,Greenwich,Criminal Damage,Other Criminal Damage,2,2015,Jun,Yes
E01002389,Havering,Theft and Handling,Theft From Motor Vehicle,2,2016,Aug,Yes
